video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"DkskOhoQpuo","Loki | Temporada 2 | Tráiler doblado | Disney+","2023-07-31T13:33:12Z","UC8LEXZO4hjzVk6wO3G9pJyQ","Marvel Latinoamérica Oficial","24","23.02.08","[none]","892745","57362","0","2497","https://i.ytimg.com/vi/DkskOhoQpuo/default.jpg","False","False","El regreso de tu dios favorito. #Loki, segunda temporada, estreno 6 de octubre en #DisneyPlus."
"_ElO772izD0","CHRISTIAN MARTINOLI, ¿DE QUÉ TE VAS A DISFRAZAR? | La entrevista con Yordi Rosado","2023-07-31T00:00:11Z","UCpYlZ6IrsXW_OBrt5ugKkmA","Yordi Rosado","24","23.02.08","Yordi Rosado|christian martinoli|christian martinoli entrevista|christian martinoli 2023|christian martinoli habla|christian martinoli revela|christian martinoli confiesa|christian martinoli historia|christian martinoli anecdota|christian martinoli con yordi rosado|yordi rosado entrevista|la entrevista con yordi rosado|entrevista|yordi rosado y christian martinoli|christian martinoli habla de luis garcia|christian martinoli infancia","808525","25847","0","1242","https://i.ytimg.com/vi/_ElO772izD0/default.jpg","False","False","Ya llegó el mero mero Unefon Ilimitado. Conoce más en 👉 www.unefon.com.mxEn esta entrevista Christian Martinoli nos cuenta por qué le dicen doctor a Luis García, cómo fue su infancia, los problemas que ha tenido narrando, cómo su personaje al aire es distinto a él, por qué no tiene amigos futbolistas, la única vez que ha pedido una disculpa, por qué le fue terrible en Francia 98, cómo Luis García lo ninguneaba, por qué Luis García no es su amigo y la verdad sobre el pleito con el Piojo Herrera. Deja de sufrir por tu internet y como yo, sé parte de #ElInternetDeLosCreadores con @totalplaymx ➡ Entérate de más aquí: https://bit.ly/44FT9Ro Sigue a Christian Martinoli en:X: https://twitter.com/martinolimxFacebook: https://www.facebook.com/Cmartinolimx/Instagram: https://www.instagram.com/cmartinolimx/Sigue a Yordi Rosado en:Facebook: http://www.facebook.com/YordiRosadoInstagram: https://www.instagram.com/yordirosadooficial/Threads: https://www.threads.net/@yordirosadooficialTikTok: https://www.tiktok.com/@yordirosadooTwitter: https://twitter.com/YordiRosadoSpotify: https://open.spotify.com/show/1ZRePpISu1StY3v1Jf6cUD"
"GKdwUKn8Edg","MI FAMILIA REACCIONA A MI CAMBIO DE LOOK EXTREMO 😱 Juan de Dios Pantoja","2023-07-30T16:27:26Z","UCzoUWqjCbcfWFdOMvoep8FA","Juan De Dios Pantoja","22","23.02.08","Team|juki|Juan|De|Dios|Pantoja|jd|youtube|retos|reto|tag|tags|Challenge|nuevo|video|risa|comedia|diversión|extremo|música|roast","3090247","190042","0","4336","https://i.ytimg.com/vi/GKdwUKn8Edg/default.jpg","False","False","Hola familia PANTOJITA 💎 gracias por tenerme de nuevo en sus pantallas 😃 estoy muy contento y agradecido por todo el apoyo que siempre me dan, GRACIAS POR SER PARTE DE ESTA FAMILIA QUE TANTO AMO ❤️🙏🏻▪️SIGUEME EN MIS REDES SOCIALES QUIERO CONECTARME MAS CONTIGO:• INSTAGRAM: @JuandediosPantoja -  https://bit.ly/2vWtdSj • TWITTER:  @Juandedios_P - https://bit.ly/2OY3UYN• PAGINA DE FACE: Juan De Dios Pantoja Corona - https://bit.ly/2KHVW2E 📩 : marcasjddp@gmail.com"
"ikjcUh2_Z_s","DANNA PAOLA “Nos habla sobre “COMO ATRAVIESA SU MOMENTO MÁS REBELDE Y A LA VEZ MÁS LUMINOSO”","2023-07-31T20:00:41Z","UC-BZEmUUUIXmD1CgkWACVyQ","Calle y Poché","22","23.02.08","calle|poché|calle y poché|colombia|caché|youtubers|pareja|cachers|maria|jose|garzon|daniela|youtube|tag|reto|challenge|couple|bff|vlogs|daniela calle|maria jose garzon|POCHE|CALLE|duo|human of interest|human of interest podcast|podcast|calle y poche host|sascha fitness","132342","8610","0","330","https://i.ytimg.com/vi/ikjcUh2_Z_s/default.jpg","False","False","NUESTRO HUMAN OF INTEREST ES: Danna Paola se sienta con nosotras para hablarnos sobre su verdad. Cómo se siente más luminosa que nunca justo en el momento en el que decide no tapar su oscuridad. Enfocada en SER como sea que ella es. Nos cuenta sobre cómo pensó en algún momento en dejar la música, en cómo se dio cuenta que estaba haciendo cosas que transgredían sus límites, en lo difícil que es crecer en el mundo del entretenimiento, en cómo drenaba sus emociones sólo cuando estaba actuando otros personajes: sintiendo pero en vidas ajenas. Hoy vemos su otro lado, y su valentía infinita.Todos somos un caso sin resolver, y aqui buscamos investigarnos. Todos hemos sido testigos de los triunfos y del caso de éxito de cada uno de nuestros invitados, ha sido evidente, pero queremos indagar más en su trasfondo humano.Hablaremos de esas cosas que no se suelen tocar en público, de las que no se suele preguntar, ni mencionar. Buscando profundidad, viendo, por primera vez, lo que está en la sombra, en la evidencia que, intencionalmente o subconscientemente, evadimos. Será una interrogación cálida y divertida, en donde nos mostrarán su evidencia más cercana al corazón, con ayuda de testigos que los aman, y escucharemos sus propios testimonios sobre quiénes son.NUESTRO INVITADO: DANNA PAOLA✩ Escucha Human Of Interest en todas las plataformas ✩Spotify: https://open.spotify.com/show/22sEY5n...Apple podcasts: https://podcasts.apple.com/us/podcast...Google podcasts:https://podcasts.google.com/feed/aHR0...Stitcher:https://www.stitcher.com/show/1060388Pandora:https://www.pandora.com/podcast/human...Deezer:https://deezer.com/show/5821157Pocketcasts:https://pca.st/4vb7srv5Radio public:https://radiopublic.com/human-of-inte...Tune in:https://tunein.com/radio/HUMAN-OF-INT...Amazon:https://music.amazon.es/podcasts/96a5...#HUMANOFINTEREST✩ NUESTRO REALITY #CALLEYPOCHESINETIQUETAS YA DISPONIBLE EN PRIME VIDEO:https://www.primevideo.com/detail/Cal...✩ Compra nuestros libros (EL PRIMERO) Sí, Si Es Contigo y (NUESTRO NUEVO LIBRO) ¿Y Si No Es Conmigo? ✩https://www.buscalibre.com.co/libro-y...https://www.buscalibre.com.mx/libro-y...✩ Compra nuestro Merch ✩➤ https://fanjoy.co/collections/calle-y...✩ Síguenos en nuestras redes sociales ✩ conecta con nosotras:➤ instagram juntas: https://www.instagram.com/calleypoche/➤ instagram calle: https://www.instagram.com/danielaacal...➤ instagram poché: https://www.instagram.com/poche/➤ twitter juntas: https://twitter.com/CalleyPoche➤ twitter calle: https://twitter.com/danielaacallee➤ twitter poché: https://twitter.com/Pochosaurus➤ tik tok: calleypoche✩ Escucha Bilateral, nuestro podcast ✩Gratis, sólo por Spotify. ➤ https://open.spotify.com/show/00Y0mAL..."
"GJmqbc_T7UI","hola, estoy de vuelta 😀","2023-07-31T21:00:07Z","UCG8eSYvOQUpb9HM8zU5d6xg","RobleisIUTU","20","23.02.08","robleis|robleisiutu|risa|funny|top|videos graciosos|recopilacion|clips|reaccion|juego|mejores momentos|record|reaccionando|best moments|nueva skin|nueva arma|actualizacion|como mejorar|como ganar|trucos|tips|consejos|fails|si me rio","515790","77529","0","7273","https://i.ytimg.com/vi/GJmqbc_T7UI/default.jpg","False","False","🔴 DIRECTOS: https://www.twitch.tv/robleisLike y Sub ayuda muchoo♥seguime en las redes rey► Instagram:  https://instagram.com/robleis► Twitter:  https://twitter.com/robleis01► Spotify: https://open.spotify.com/artist/32AuV4BxATEf2i7YVhIjhtMi Música: https://www.youtube.com/c/RobleisMusicSuscribete y activa la campanita 🔔 para que estés enterado de cuando subo videos :DContacto/Business: contact@teamrobleis.com"
"dR68OU5j7ww","Resumen y goles | América 1-4 Columbus Crew| Leagues Cup 2023 | Cortesía: @AppleTV","2023-08-01T02:51:12Z","UCTIyEyDNHPrwVFPhpi5dm0A","TUDN México","17","23.02.08","Televisa|Univision|TUDN|Televisa deportes|TUDN México|TUDN USA|Deportes|soccer|Futbol mexicano|futbol mls|liga mx vs mls|América 1-4 Columbus","477606","2747","0","1154","https://i.ytimg.com/vi/dR68OU5j7ww/default.jpg","False","False","Cortesía: @AppleTV Con remontada incluida, el cuadro de la MLS le puso una dura goleada a las Águilas de Jardine.Síguenos en nuestras redes sociales:https://www.facebook.com//tudnmex/https://www.instagram.com/tudnmex/https://twitter.com/TUDNMEXSitio Web: https://www.tudn.mx/TUDN México te ofrece la cobertura más completa del mundo deportivo con lo mejor del fútbol mexicano, eventos internacionales, las grandes personalidades del deporte y mucho más."
"mPufqoACksA","Taco y Torta al Pastor | La Capital","2023-07-31T21:00:32Z","UCEwl20VxZ3AwOgiKMZtI1GQ","La Capital","26","23.02.08","tacos al pastor|al pastor receta|al pastor recipe|la capital|tacos mexicanos|oscar meza|salsa verde|salsa chipotle|tortas de carne","1172233","73378","0","1080","https://i.ytimg.com/vi/mPufqoACksA/default.jpg","False","False","Contacto directo: oscarlacapital@gmail.com—————————————————————————————Instagram: https://www.instagram.com/oscarmezarFacebook: https://www.facebook.com/lacapitalcocinaMi Carnicería: http://www.yanagiya.mx—————————————————————————————Mi Equipo: Asador Grande: https://amzn.to/3aFgFqMAsador Chico: https://amzn.to/3G2wxylAsador Gas: https://amzn.to/3vJ5IfRKanka Grill: https://kankagrill.mxHorno eléctrico: https://amzn.to/3uWkHDbAhumador carbón : https://amzn.to/31bzHhlAhumador automático: https://amzn.to/3Sd7vlmSlow cooker: https://amzn.to/3XjwuHjOlla express: https://amzn.to/2CQ1fzrTermómetro: https://amzn.to/3rPIEqySartén Cast Iron: https://amzn.to/3FVCOe8Dutch Oven: https://amzn.to/2NhNDz4Prensa: https://amzn.to/3F18tKMProcesadora: https://amzn.to/3nv1iSxLicuadora: https://amzn.to/33KaeM0Mi cámara: https://amzn.to/4444hXZLente: https://amzn.to/3ppNnnCMolino de Carne: https://amzn.to/3jdwdmYCuchillo 1: https://amzn.to/2DPGXG6Cuchillo 2: https://amzn.to/2rz1iqr Cuchillo 3: https://amzn.to/31pqcZ7Cuchillo 4: https://amzn.to/2AmeCp1Cuchillo 5: https://amzn.to/2PDd38uSellador al vacío: https://amzn.to/3PnHFdIRayador de Queso: https://amzn.to/3PVzGpy"
"at9pWYunEMc","El Chombo presenta : Hablemos con los muñequitos 5","2023-08-01T01:00:10Z","UCvfzJ2WDWI4SPyCHzP35IIw","El Chombo","10","23.02.08","El Chombo|Te lo dijo el chombo|el chombo|chombo|te lo dijo el chombo|dame tu cosita|el chombo michael jackson|dame tu cosita song|ok google|el chombo canserbero|el chombo reggaeton|chacarron|el chombo freddie mercury|jubilados awards el chombo|la cripta|chombo michael jackson|el chombo plagio","465544","59241","0","3242","https://i.ytimg.com/vi/at9pWYunEMc/default.jpg","False","False","Episodio también disponible en formato Podcast sin video. Búscalo en Spotify o tu plataforma favorita.Mis listas: Te Lo Dijo El Chombo: https://bit.ly/TeLoDijoElChombo_Jubilao Caribeño: https://bit.ly/JubilaoCaribenoSígueme en mis redes: Instagram: https://www.instagram.com/elchombo_officialTikTok: https://www.tiktok.com/@elchombo_officialFacebook: https://www.facebook.com/elchombo.official Twitter:  https://twitter.com/ElChombo_1"
"ZyJs5GOx3fQ","KAROL G - MAÑANA SERÁ BONITO (BICHOTA SEASON) (Official Album Trailer)","2023-07-31T19:02:45Z","UCZuPJZ2kGFdlbQu1qotZaHw","KAROL G","10","23.02.08","Karol g|karolg|tusa|tusa karol g|la bichota|bichota|amargura|tqg|mañana sera bonito|mientras me curo del cora|provenza|mamiii|barbie|barbie movie|watati|aldo ranks|karol g y nicki minaj|karol g y dua lipa|s91|karol g s91|bad bunny|becky g|shakira|j balvin|ovy on the drums|karol g y peso pluma|sky rompiendo|verano rosa|feid|karol g y feid|reggaeton|reggaeton colombiano|pop latino|msb|msb bichota season|bichota season","458891","36955","0","1905","https://i.ytimg.com/vi/ZyJs5GOx3fQ/default.jpg","False","False","Pre-order MAÑANA SERÁ BONITO (BICHOTA SEASON): https://KarolG.lnk.to/BichotaSeasonPresave Subscribe to my YouTube channel here: https://karolg.lnk.to/SubscribeKarolGYT Connect with KAROL G:Instagram: https://www.instagram.com/karolg/Twitter: https://twitter.com/karolgTikTok: https://www.tiktok.com/@karolgFacebook: https://www.facebook.com/KarolGOficialTelegram: https://t.me/KarolGTeam #MSB #BICHOTASEASON"
"Kikc4ZCZfTk","¡PASTEL PISCINA DE BARBIE! 🎀 - COMPETENCIA VS @Marisolpink y @CaroTrippar","2023-08-01T02:00:10Z","UCN3ZyGR8BXFI-mN9r77bwAw","MaireWink","24","23.02.08","mairewink|maire|wink","95660","7687","0","835","https://i.ytimg.com/vi/Kikc4ZCZfTk/default.jpg","False","False","💜 ¡45 DÍAS GRATIS EN PODIMO CON ESTE LINK!go.Podimo.com/mairewink🎀Video de @CaroTrippar :https://www.youtube.com/watch?v=XNFh_t_9Qn8🎀Video de @Marisolpink :¡Coming soon! 💖 Instagram: maire_wink💖 twitter: @maire_wink💖 Facebook: https://www.facebook.com/maireguinc💖 Tiktok: https://www.tiktok.com/@maire_wink?la..."
