video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"J9lQ2hAAcRo","SE ME PERDIÓ JUANITO EN EL CRUCERO DE DISNEY 🚢 (broma a JD) Kimberly Loaiza","2023-07-29T17:53:20Z","UCQZfFRohQ7UX-0CdXl-6pwQ","Kimberly Loaiza","22","23.31.07","team|juki|jukilop|teamjukilop|juan|de|dios|pantoja|reto|challenge|diversión|entretenimiento|vlog|blogs|nuevo|video|vlogs|blog|lindura|linduras|kimberly|loaiza|risas|musica","4554414","249508","0","12421","https://i.ytimg.com/vi/J9lQ2hAAcRo/default.jpg","False","False","LINDURAS GRACIAS POR VER ESTE VIDEO ME ENCANTARIA QUE LE DIERAN LIKE Y LO COMPARTIERAN FUERA DE GRAN AYUDA ✨ Sígueme en mis redes sociales ✨Instagram: https://www.instagram.com/kimberly.loaiza/Pagina de Facebook: https://www.facebook.com/kimberlyloaizaa/?ref=br_tfTwitter: https://mobile.twitter.com/kimberlyloaiza_Contacto: marcaskim@gmail.com"
"c2VDvHA9Mac","¡TREMENDA GOLEADA CULÉ EN EL SUPERCLÁSICO ESPAÑOL DE TEXAS! | Barcelona 3-0 Real Madrid | RESUMEN","2023-07-29T23:22:40Z","UCFmMw7yTuLTCuMhpZD5dVsg","ESPN Fans","17","23.31.07","Barcelona|Real Madrid|Soccer Champions Tour|ESPN|RESUMEN|Texas|Amistoso Internacional|Goles|2023|Dembélé|Vinicius|Ferrán Torres","3219392","75439","0","5502","https://i.ytimg.com/vi/c2VDvHA9Mac/default.jpg","False","False","Disfruta el Soccer Champions Tour 2023 por #ESPNenStarPlus ingresando a este link: http://dis.la/ESPNenStarPlus_YTSOCCER CHAMPIONS TOUR 2023Goles: 15' O. Dembélé (B); 85' F. Marín (B) y 90(+1)' F. Torres (B).Incidencias: 20' Vinicius Jr. falló un penal (RM).No te pierdas los videos del Soccer Champions Tour 2023 en nuestra playlist: https://bit.ly/3pYOXNC¿Ya te suscribiste a nuestro canal? https://bit.ly/3bAT9rx​​​​​​Para más información, visita http://www.espn.com​​​​​​​​​​​​​​No te olvides de seguirnos en TODAS las redes:- https://www.facebook.com/ESPNFutbol- https://twitter.com/ESPNFutbolarg- https://www.instagram.com/espnfutbolarg- https://www.facebook.com/ESPNFans​​​​- https://twitter.com/ESPNArgentina​​​​- https://www.instagram.com/espnargentina/"
"WznbL3VgTlM","Comprando el regalo de Kima en la isla privada de Disney 🎁 Cecia Loaiza ✨","2023-07-30T01:09:15Z","UCEv3u4RVNiQtNg4Usx0qyYA","Cecia Loaiza","24","23.31.07","cecia loaiza|loaiza|cecia|retos|bromas|bromas extremas|retos extremos|maquillaje","418017","21013","0","605","https://i.ytimg.com/vi/WznbL3VgTlM/default.jpg","False","False","✨ HELLO TO EVERYBODY ✨Plebones espero que les haya dado gusto el tenerme de nuevo por acá, me encantaría que te suscribieras a mi canal y me escribas acá abajo que videos te gustaría ver.Te dejo mis redes sociales:Instagram: https://www.instagram.com/cecialoaiza_Twitter: https://www.twitter.com/cecialoaiza_Tiktok: https://www.tiktok.com/cecia.loaizaContacto: Ceciamarcas@gmail.com"
"8o0-xLqR7cQ","PROBÉ LA LECHE DE CAROL POR PRIMERA VEZ 😱🍼 ROOM TOUR DE MI HIJO 👶🏼 Cesar Pantoja ❤️","2023-07-29T22:21:13Z","UCB_P3w2BPH2ZMIO2JmxY6_w","Cesar Pantoja","22","23.31.07","CESAR|PANTOJA|CESAR PANTOJA|VIDEOS|ENTRETENIMIENTO|RISA|GAME|GAMERS|GAMER|DIVERTIDO|RISAS|HUMOR|BROMAS|RETOS|TAGS","382603","21972","0","627","https://i.ytimg.com/vi/8o0-xLqR7cQ/default.jpg","False","False","AMIGOS  GRACIAS POR VER ESTE VIDEO ME GUSTARIA QUE LE DIERAN LIKE Y LO COMPARTIERAN FUERA DE GRAN AYUDA⚡️Sígueme en mis redes sociales⚡️ Instagram: https://www.instagram.com/cesarpantoja.nTiktok: https://www.tiktok.com/@cesarpantoja.n​Twitter: https://twitter.com/Cesarpantojaa📩CONTACTO: cpmarcas@gmail.com"
"_zPaYp8XN9Y","Spence vs Crawford HIGHLIGHTS: JULY 29, 2023 | PBC on Showtime PPV","2023-07-30T06:05:02Z","UCWXYAGB9SadlL6p5Bb66wWw","Premier Boxing Champions","17","23.31.07","Boxing|PBC|premier boxing champions|ko|tko|knockouts|fighter|boxer|mayweather|al haymon|showtime boxing|wilder|thurman|spence|porter|broner|fighting|best of|highlights|wbo|wba|wbc|ibo|ibf|boxing highlights|errol spence hr|terence crawford|spence vs crawford|crawford spence|terence bud crawford|spence crawford|premier boxing|pbc|fight highlights|undisputed|ppv highlights|terence|terence crawford highlights|terence crawford vs errol spence jr","2147433","22945","0","5553","https://i.ytimg.com/vi/_zPaYp8XN9Y/default.jpg","False","False","Undefeated three-division champion Terence “Bud” Crawford emphatically stamped his place in the history books with a ninth-round TKO over the previously unbeaten Errol “The Truth” Spence Jr. to become the first undisputed welterweight champion of the four-belt era in the SHOWTIME PPV main event Saturday night from T-Mobile Arena in Las Vegas in an event presented by Premier Boxing Champions. “It means everything because of who I took the belts from,” said Crawford. “They talked bad about me. They said I wasn’t good enough and I couldn’t beat these welterweights. I just kept my head to the sky and kept praying to God that I would get the opportunity to show the world how great Terence Crawford is. Tonight, I believe I showed how great I am.” “He was just better tonight,” said Spence. “He was using the jab. My timing was a little bit off. He was just the better man tonight.” In addition to adding the WBC, WBA and IBF titles to his WBO belt, Crawford became the first male fighter to become an undisputed champion in two weight classes, having previously won all four belts at 140-pounds. In a fight where Spence had already been down three times, Crawford’s ninth round onslaught of hooks forced referee Harvey Dock to wave off the action 2:32 in the frame. After years of build-up, Spence came out aggressively in the opening round, jabbing and attacking Crawford’s body. Crawford, who is known for fighting from both the southpaw and orthodox stances, fought primarily as a southpaw and scored his first knockdown in round two with a powerful right cross that caught Spence off balance and sent him down for the first time in his career. “We practice that,” said Crawford. “Normally in camp we do a flick and jab. But we knew that wasn’t going to work with Errol Spence because he’s durable, he’s strong. So we had to practice a strong firm jab. The jab hit him and stopped him in his tracks.” “He was just throwing the hard jab,” said Spence. “He was timing with his jab. His timing was just on point. I wasn’t surprised by his speed or his accuracy. It was everything I thought.” Spence came out in round three determined to turn the tide after the knockdown, throwing big shots, including a left hook that landed cleanly early. However, Crawford was able to withstand the attack and showed his precision by landing a clean counter right that again staggered Spence. “Errol Spence is a tremendous talent and he’s got a great jab,” said Crawford. “We were worried about the jab coming in because that’s how he sets up all of his shots.  Our main focus was the jab. You take away his best attribute. The rest is history.” In round seven, Crawford dropped Spence twice, once with a clean right uppercut early on and again late in the round with a right hook. Crawford led 79-70 on all three cards at the time of the stoppage and dominated the CompuBox stats with an 185 to 96 advantage in punches landed and an astounding 50% connect rate. Post-fight, Crawford showed his respect for Spence stepping up to the plate and making the super fight happen and spoke to the historic nature of the matchup, while Spence expressed his interest in a rematch later this year. “We gotta do it again,” said Spence. “I’m going to be a lot better. It’ll be a lot closer. It’ll probably be in December and the end of the year. I say we gotta do it again.” “Like I said before, I only dreamed of being a world champion,” said Crawford. “I’m an overachiever. Nobody believed in me when I was coming up, but I made everybody a believer. I want to thank Spence and his team because without him none of this would have been possible.”#TerenceCrawford #ErrolSpenceJr #SpenceCrawfordVisit PremierBoxingChampions.com for more info.SIGN UP FOR FIGHT ALERTS: https://pbcham.ps/FightAlertsFOLLOW US:https://twitter.com/premierboxinghttps://instagram.com/premierboxinghttps://www.facebook.com/premierboxingchampions"
"Awi5i-W3oTs","FNAF SECURITY BREACH RUIN DLC: 50 Cosas que NO SABÍAS | Curiosidades","2023-07-29T21:00:17Z","UCDCIcjLEmAsjQ60j9xFv-sg","WIZZY","24","23.31.07","five nights at freddys|Five Nights at Freddy's|william afton|scott cawton|fnaf|freddy|foxy|glamrock|springlock|glitchtrap|hombre morado|fanaf|historia security breach|sister location|fnaf 2 3 4|Five Nights at Freddy's: Security Breach|playstation|trailer|teaser|glam rock|chica|bonnie|montgomery gator|roxy|roxanne wolf|help wanted|wizzy|WIZZY|glamrock chica|monty|glamrock bonnie|bonnie security breach historia|funtime chica|dlc ruin|security breach|gameplay","663211","25868","0","574","https://i.ytimg.com/vi/Awi5i-W3oTs/default.jpg","False","False","FNAF RUIN está aquí, y que menos que ver unas Buenas Curiosidades 😎😈 ¿The Mimic y Bonnie? CONTACTO TRABAJO: Wizzy@adamantagency.com"
"2Ghlfjvx_xE","✅🔥 16 AVOS DEFINIDOS!  Zona SUR - ESTE ✅ TABLA de POSICIONES y RESULTADOS HOY LEAGUES CUP 2023","2023-07-30T03:24:08Z","UC6nINsFcP_8ZtBjT-0MpFYg","FieraCrack","17","23.31.07","tabla general|resultados de futbol de hoy|resultados|jornada 1|leagues cup 2023|leagues cup 2023 highlights|resultados leagues cup 2023|tabla de posiciones leagues cup 2023|leagues cup|tabla de posiciones|2023|jornada 1 leagues cup 2023|partidos leagues cup hoy|RESULTADOS HOY LEAGUES CUP 2023|definida la liguilla leagues cup 2023|16avos leagues cup 2023|playoff leagues cup 2023|GOLES HOY LEAGUES CUP 2023|RESULTADOS y GOLES Leagues Cup 2023|messi","96368","749","0","45","https://i.ytimg.com/vi/2Ghlfjvx_xE/default.jpg","False","False","LINK Para Ser Miembro del Canal 💚🦁https://www.youtube.com/channel/UC6nINsFcP_8ZtBjT-0MpFYg/joinTABLA GENERAL Y RESULTADOS de la jornada 3 de la fase de grupos de la leagues cup 2023 playof 16avos definidos cruces leagues cup 2023 - mazatlan vs Dallas -  orlando vs inter miami - charlotte vs cruz azul . clasificados a 16 avos#leaguescup2023  #cracks #leaguescup--- AVISO! DERECHOS DE IMÁGENES ---Las Fotografías Mostradas en Los Vídeos de este Canal son tomadas por el Fotógrafo Profesional Ramonbarbal. Permiso y uso exclusivo para el canal FieraCrack. También incluye Fotografías Tomadas por un Servidor. 📸Fotografo Ramonbarbal Instagram https://www.instagram.com/ramonbarbal/⚽ Fieracrack Fútbol  - Más Videos ⚽Entrevista con TITA https://youtu.be/HMcvh8GI3bwFieraCrack en León Gto. https://www.youtube.com/playlist?list=PLWMAcGpuqU5CfWIiXeG_d_Kae_gdWwBUz⚽ Mis Redes Sociales ⚽Instagram https://www.instagram.com/fieracrackoficial/ Facebook https://www.facebook.com/fieracrackk/Tik Tok https://www.tiktok.com/@fieracrackSuscribete https://www.youtube.com/c/FieraCrack--- @FieraCrack Fiera Crack ---Canal Oficial del Club León https://www.youtube.com/user/leonfctvCanal Oficial de Tita https://www.youtube.com/user/MqTitaCanal Oficial de Gol y Puerta https://www.youtube.com/@golypuerta1039Canal de Chris Fiera https://www.youtube.com/c/ChrisFieraCracks de FIERAMANIA https://www.facebook.com/FieramaniaMXCracks de SOY FIERA https://www.facebook.com/soyfieramxCracks TERRITORIO ESMERALDA https://www.facebook.com/TerritorioEsmeralda44/Cracks de RETROSTARS BAJIO https://www.facebook.com/RetrostarsbajioCreador de Mascara de FIERACRACK https://www.facebook.com/Makhiamask/"
"ocDDLPLKe70","[슈취타] EP.15 SUGA with 정국","2023-07-29T13:00:08Z","UCLkAepWjdylmXSltofFvsYQ","BANGTANTV","10","23.31.07","방탄소년단|BTS|BANGTAN|알엠|RM|슈가|SUGA|제이홉|jhope|지민|정국|k-pop|방탄|j-hope|Jung Kook|Jimin|BTS V|Jin","5790670","729447","0","28769","https://i.ytimg.com/vi/ocDDLPLKe70/default.jpg","False","False","#슈가와취하는타임 #슈취타 #SUGA #슈가 #JungKook #정국Connect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://btsblog.ibighit.com"
"MUgUviMCpRo","Pasé 100 horas Puliendo una Bola de Aluminio","2023-07-29T16:45:01Z","UC8hiDnhwE7ieY1atgDE_yUg","GONZOK","24","23.31.07","gonzok|gonzork|comedia|chiste|vlog|videoblog|humor|chistoso|vlogger|flan|flanmilia|cosas que le cagan a gonzok|cocinando con gordok","508447","14858","0","479","https://i.ytimg.com/vi/MUgUviMCpRo/default.jpg","False","False","Sigo soñando con la bolaNEGOCIOS: Gonzok@DogmaCreators.comHoy en día ya nadie lee las descripciones de los videos, así que si tú estás leyendo esto te quiero decir que te quiero mucho ❤️ Tómale screenshot a esto y mándamela por Instagram para que te de mucho amor, comprensión y ternura.Estoy stremeando todos los dias en https://www.twitch.tv/elgonzok reacciono a mis videos y les cuento datos secretos sobre ellos, juego cositas, hablo con ustedes, cocino en directo, hago IRLs básicamente es el mejor stream que podrás ver mira te lo vuelvo a dejar: https://www.twitch.tv/elgonzok picale y di que vienes de youtubeTengo otro canal donde subo Gameplays, Reacciones, Vlogs y MAX!! https://www.youtube.com/channel/UCVtWbG7MQ_Gi3GPVhXwtIPA 👈 Si te suscribes a Gonzok MAX tu crush te va a hablar (:Gonzok MAX 👉 https://www.youtube.com/channel/UCVtWbG7MQ_Gi3GPVhXwtIPAInstagram 👉 http://instagram.com/ElGonzokFacebook 👉 https://www.facebook.com/ElGonzokTikTok 👉 https://www.tiktok.com/@elgonzok?Twitter 👉 https://twitter.com/ElGonzokTwitch 👉 https://www.twitch.tv/ElGonzokTambién tengo un perfume! Huele a rockstar ❤️‍🔥 Con él pude conquistar a mi crush (100% real) te dejo el link por si quieres comprarlo:www.arabela.com/creadores-de-contenido/gonzokSi sigues leyendo esto de verdad eres la mejor persona del mundo, eso quiere decir que eres un/una flan de verdad!! 🍮🍮 TE LO AGRADEZCO UN MONTÓN!! 😭😭 En este canal así nos llamamos, los flanes jejeje y somos la #FLANMILIA porque somos una FAMILIA de FLANES! 🥳 Ya de paso si estás leyendo esto y no te has suscrito al canal pues no se qué estás haciendo con tu vida, suscríbete y activa la campanita plox para que formes parte de esta gran flanmilia que la está rompiendo en internet https://www.youtube.com/channel/UC8hiDnhwE7ieY1atgDE_yUgSi quieres saber un poco más de qué va el Canal de Gonzok te voy a contar, agárrate un cafecito que ya empezó el chismeeee!!Gonzok es un canal cuyo propósito más importante es Compartir la Felicidad 🥳 Subimos videos regalando dinero a la gente, cocinando recetas rarísimas, viajamos en el tiempo, construimos locuras en mi casa... VAYA TENEMOS DE TODO VE TODOS LOS VIDEOS TE LOS RECOMIENDO POR ESO ESTOY HABLÁNDOTE AHORA CON MAYÚSCULAS PORQUE ES IMPORTANTE QUE VEAS TODOS Y CADA UNO DE LOS VIDEOS Y SI YA LOS VISTE TODOS COMENTA AQUÍ ABAJO QUE YA LOS TERMINASTE DE VER Y TE DARÉ UN CORAZON HERMOSO COMO TU GRACIAS TQMOkey ahora sí ya me voy adiosillo!"
"uB8cPQiNDok","Joyboy Has Returned! | One Piece","2023-07-30T02:36:15Z","UC6pGDc4bFGD1_36IKv3FnYg","Crunchyroll Collection","1","23.31.07","one piece anime|one piece|ワンピース|wano kuni|wano|one piece 1070|one piece episode 1070|crunchyroll|anime|anime trailer|anime preview|anime full episode|crunchyroll collection|daily clips|anime pv|anime op|anime opening|anime highlights|gear 5 one piece|gear 5 luffy|joyboy one piece|joyboy luffy","1552408","73954","0","4526","https://i.ytimg.com/vi/uB8cPQiNDok/default.jpg","False","False","Episode 1070: Gear 5?! Watch One Piece on Crunchyroll! https://got.cr/cc-op1070Monkey. D. Luffy refuses to let anyone or anything stand in the way of his quest to become the king of all pirates. With a course charted for the treacherous waters of the Grand Line and beyond, this is one captain who'll never give up until he's claimed the greatest treasure on Earth: the Legendary One Piece!Crunchyroll Collection brings you the latest clips, openings, full episodes, and more from your favorite anime!FREE 14-DAY CRUNCHYROLL TRIAL 🌟 https://got.cr/cc-14days#OnePiece #Wano #Crunchyroll"
